1.Number of jobs reviewed:,,,
ds,Jobs Reviewed per day,Hours spent per Day,
30-11-20,2,0.0111,
29-11-20,1,0.0056,
28-11-20,2,0.0092,
27-11-20,1,0.0289,
26-11-20,1,0.0156,
25-11-20,1,0.0125,
,,,
2.Throughput:,,,
ds,throughput_7day_rolling_avg,,
25-11-20,0.0222,,
26-11-20,0.0357,,
27-11-20,0.0288,,
28-11-20,0.1515,,
29-11-20,0.3,,
30-11-20,0.2,,
,,,
3.Percentage share of each language:,,,
language,percentage,,
English,12.5,,
Arabic,12.5,,
Persian,37.5,,
Hindi,12.5,,
French,12.5,,
Italian,12.5,,
,,,
4.Duplicate rows:,,,
job_id,duplicate_rows,,
23,3,,
,,,
5.User Engagement: ,,,
year,weeknum,user_engagement,
2014,17,663,
2014,18,1068,
2014,19,1113,
2014,20,1154,
2014,21,1121,
2014,22,1186,
2014,23,1232,
2014,24,1275,
2014,25,1264,
2014,26,1302,
2014,27,1372,
2014,28,1365,
2014,29,1376,
2014,30,1467,
2014,31,1299,
2014,32,1225,
2014,33,1225,
2014,34,1204,
2014,35,104,
,,,
6.User Growth: ,,,
year_num,week_num,num_active_users,cum_active_users
2013,0,23,23
2013,1,30,53
2013,2,48,101
2013,3,36,137
2013,4,30,167
2013,5,48,215
2013,6,38,253
2013,7,42,295
2013,8,34,329
2013,9,43,372
2013,10,32,404
2013,11,31,435
2013,12,33,468
2013,13,39,507
2013,14,35,542
2013,15,43,585
2013,16,46,631
2013,17,49,680
2013,18,44,724
2013,19,57,781
2013,20,39,820
2013,21,49,869
2013,22,54,923
2013,23,50,973
2013,24,45,1018
2013,25,57,1075
2013,26,56,1131
2013,27,52,1183
2013,28,72,1255
2013,29,67,1322
2013,30,67,1389
2013,31,67,1456
2013,32,71,1527
2013,33,73,1600
2013,34,78,1678
2013,35,63,1741
2013,36,72,1813
2013,37,85,1898
2013,38,90,1988
2013,39,84,2072
2013,40,87,2159
2013,41,73,2232
2013,42,99,2331
2013,43,89,2420
2013,44,96,2516
2013,45,91,2607
2013,46,88,2695
2013,47,102,2797
2013,48,97,2894
2013,49,116,3010
2013,50,124,3134
2013,51,102,3236
2013,52,47,3283
2014,0,83,3366
2014,1,126,3492
2014,2,109,3601
2014,3,113,3714
2014,4,130,3844
2014,5,133,3977
2014,6,135,4112
2014,7,125,4237
2014,8,129,4366
2014,9,133,4499
2014,10,154,4653
2014,11,130,4783
2014,12,148,4931
2014,13,167,5098
2014,14,162,5260
2014,15,164,5424
2014,16,179,5603
2014,17,170,5773
2014,18,163,5936
2014,19,185,6121
2014,20,176,6297
2014,21,183,6480
2014,22,196,6676
2014,23,196,6872
2014,24,229,7101
2014,25,207,7308
2014,26,201,7509
2014,27,222,7731
2014,28,215,7946
2014,29,221,8167
2014,30,238,8405
2014,31,193,8598
2014,32,245,8843
2014,33,261,9104
2014,34,259,9363
2014,35,18,9381
,,,
7.Weekly Retention:,,,
user_id,count,per_week_retention,
11768,1,0,
11770,1,0,
11775,2,1,
11778,3,0,
11779,5,1,
11780,2,1,
11785,1,0,
11787,3,1,
11791,2,1,
11793,6,1,
11795,2,1,
11798,6,1,
11799,10,1,
11801,2,1,
